trip_id,start_time,end_time,headway_secs,exact_times
TRIP_aa402fbb-4453-542e-9b07-ccdae84c0745_82ce7434-f44b-4c00-9ccf-0327da77506b,06:30:00,22:30:00,40,0
TRIP_aa402fbb-4453-542e-9b07-ccdae84c0745_fb015500-3396-4405-a7a6-d9341330fc47,06:30:00,22:30:00,40,0
TRIP_aa402fbb-4453-542e-9b07-ccdae84c0745_2a82204d-f2a2-440e-95cb-29c607fbb15e,06:30:00,22:30:00,40,0
TRIP_aa402fbb-4453-542e-9b07-ccdae84c0745_e76dab27-3dd9-426a-af2f-7b78938ff80b,07:00:00,21:00:00,40,0
TRIP_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05_9c92d9b4-8a43-4145-ab68-3e90603f0c36,06:30:00,22:30:00,40,0
TRIP_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05_690bf02a-4036-4dad-9045-01789902077b,06:30:00,22:30:00,40,0
TRIP_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05_ad4c2a89-e4dd-4465-b95d-afe92a9d144b,06:30:00,22:30:00,40,0
TRIP_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05_75dd1fa4-6408-41f0-b5a6-1ddaf2143f83,06:30:00,22:30:00,40,0
TRIP_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05_f315dd94-4170-49f5-ba1b-6463b8b9146f,06:30:00,22:30:00,40,0
TRIP_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05_3b58588a-caaf-4d69-a072-891955f4be88,06:30:00,22:30:00,40,0
TRIP_68fb3231-1c7c-5dfc-8d17-3ce42a8efd05_91c01e2f-3646-44d0-bc3b-9c0850f763bb,07:00:00,21:00:00,40,0
TRIP_3dbc3688-2ac2-5750-ac04-689d79288df9_6501cfa1-a856-4a32-8524-c0a96e8d6200,06:30:00,22:30:00,40,0
TRIP_3dbc3688-2ac2-5750-ac04-689d79288df9_61b81398-0ba0-4e2d-bc8d-0924eca1e019,06:30:00,22:30:00,40,0
TRIP_3dbc3688-2ac2-5750-ac04-689d79288df9_2214c6e6-27b1-4f66-a884-bebb97d6abf2,06:30:00,22:30:00,40,0
TRIP_3dbc3688-2ac2-5750-ac04-689d79288df9_0ad97cc4-0eb0-42a7-99a8-09d337976ca8,06:30:00,22:30:00,40,0
TRIP_3dbc3688-2ac2-5750-ac04-689d79288df9_f90adc44-4870-4f74-b6a1-5e6d3e834dad,06:30:00,22:30:00,40,0
TRIP_3dbc3688-2ac2-5750-ac04-689d79288df9_809dbb62-cc92-4701-8986-0d6352509ca1,06:30:00,22:30:00,40,0
TRIP_3dbc3688-2ac2-5750-ac04-689d79288df9_4c605cb8-5f33-4820-834c-2b08bd1e8ac8,07:00:00,21:00:00,40,0
TRIP_337764d3-68ca-5e7c-9c5a-5790bd31de64_d63da0f0-161b-4776-92df-192272764dac,06:30:00,22:30:00,40,0
TRIP_337764d3-68ca-5e7c-9c5a-5790bd31de64_98a1cd0e-0bd9-4632-ada3-3bd6d1ed3f75,06:30:00,22:30:00,40,0
TRIP_337764d3-68ca-5e7c-9c5a-5790bd31de64_759ae87a-39b5-4700-a7d7-0e720893b3e8,06:30:00,22:30:00,40,0
TRIP_337764d3-68ca-5e7c-9c5a-5790bd31de64_ba045a38-5a8f-43db-beef-d6badebc67f5,06:30:00,22:30:00,40,0
TRIP_337764d3-68ca-5e7c-9c5a-5790bd31de64_6d525441-5751-4390-bbab-a4956976cd66,06:30:00,22:30:00,40,0
TRIP_337764d3-68ca-5e7c-9c5a-5790bd31de64_d302ee75-8839-4488-94c3-e96bd9a080dd,06:30:00,22:30:00,40,0
TRIP_337764d3-68ca-5e7c-9c5a-5790bd31de64_0dd21214-bb5b-4eaa-994e-a318acad45b3,07:00:00,21:00:00,40,0
